w,EqGPStime,lat,lon,depth,Mag
301,2015-11-29 18:53:25.500000,-23.6,-64.7,11.0,5.8
302,2015-11-24 09:14:52,-31.8,-72.2,39.1,5.0
303,2015-11-25 18:58:17.600000,1.4,126.3,33.2,5.7
304,2015-10-23 00:28:15.600000,29.6,70.3,11.0,5.6
305,2015-09-16 13:09:35.100000,24.3,121.8,16.7,5.2
306,2016-01-08 22:22:08.400000,-9.4,117.7,88.9,5.4
307,2015-10-02 15:52:29.300000,1.3,125.0,109.8,5.2
308,2015-10-02 16:23:23,-30.6,-71.6,32.5,5.1
309,2015-10-29 02:50:04,51.8,178.5,93.9,5.3
310,2015-12-28 19:24:51.500000,-0.5,-20.0,10.0,5.1
311,2015-11-27 21:00:59,-24.8,-70.6,35.0,6.2
312,2015-12-31 21:30:14.900000,-30.4,-178.0,27.3,5.4
313,2015-11-16 20:52:55.700000,-30.3,-72.0,7.8,5.0
314,2015-11-07 10:54:20.200000,-30.7,-71.4,42.0,5.7
315,2015-10-03 04:14:45.700000,-33.0,-178.3,10.0,5.0
316,2015-10-03 06:27:31.800000,-30.3,-71.6,38.0,5.9
317,2015-10-03 06:04:18.100000,-37.5,-73.7,14.5,5.8
318,2015-10-27 11:05:34.400000,-16.6,66.5,10.0,5.4
319,2015-11-24 02:46:54.300000,-24.8,-175.6,10.0,5.4
320,2015-12-30 03:26:11.300000,14.2,-91.1,88.4,5.0
321,2015-12-30 02:59:12.500000,-34.4,-109.4,10.0,5.0
322,2016-01-09 14:13:13.100000,27.7,129.7,37.5,5.4
323,2015-10-25 14:48:28,18.3,-101.6,42.0,5.2
324,2015-10-05 16:34:02.800000,-30.3,-71.5,34.0,5.9
325,2015-10-10 07:31:43.600000,-19.1,169.5,257.0,5.1
326,2015-11-25 21:17:54.500000,31.9,49.5,12.0,5.4
327,2015-11-03 00:07:08.300000,24.7,122.0,10.0,5.0
328,2015-10-09 18:28:12.700000,-31.7,-71.7,35.0,5.5
329,2015-11-07 10:06:50.800000,-18.2,-174.1,10.0,5.3
330,2015-11-19 03:48:07.800000,-32.5,-176.7,39.5,5.1
